id;year_birth;education1;education;marital_Status;marital _status1;income;kidhome;teenhome;dt_customer;recency;mntwines;mntFruits;mntmeatproducts;mntfishproducts;mntsweetproducts;mntgoldprods;numdealspurchases;numwebpurchases;numcatalogpurchases;numstorepurchases;numwebvisitsmonth;acceptedcmp3;acceptedcmp4;acceptedcmp5;acceptedcmp1;acceptedcmp2;complain;z_costcontact;z_revenue;response
5524;1957;Graduation;Graduation;Single;Single;R58 138,00;0;0;4/9/2012;58;635;88;546;172;88;88;3;8;10;4;7;0;0;0;0;0;0;3;11;1
2174;1954;Graduation;Graduation;Single;Single;R46 344,00;1;1;8/3/2014;38;11;1;6;2;1;6;2;1;1;2;5;0;0;0;0;0;0;3;11;0
4141;1965;Graduation;Graduation;Partnered;Partnered;R71 613,00;0;0;21/08/2013;26;426;49;127;111;21;42;1;8;2;10;4;0;0;0;0;0;0;3;11;0
6182;1984;Graduation;Graduation;Partnered;Partnered;R26 646,00;1;0;10/2/2014;26;11;4;20;10;3;5;2;2;0;4;6;0;0;0;0;0;0;3;11;0
5324;1981;Phd;PhD;Married;Married;R58 293,00;1;0;19/01/2014;94;173;43;118;46;27;15;5;5;3;6;5;0;0;0;0;0;0;3;11;0
7446;1967;Master;Master;Partnered;Partnered;R62 513,00;0;1;9/9/2013;16;520;42;98;0;42;14;2;6;4;10;6;0;0;0;0;0;0;3;11;0
965;1971;Graduation;Graduation;Divorced;Divorced;R55 635,00;0;1;13/11/2012;34;235;65;164;50;49;27;4;7;3;7;6;0;0;0;0;0;0;3;11;0
6177;1985;Phd;PhD;Married;Married;R33 454,00;1;0;8/5/2013;32;76;10;56;3;1;23;2;4;0;4;8;0;0;0;0;0;0;3;11;0
4855;1974;Phd;PhD;Partnered;Partnered;R30 351,00;1;0;6/6/2013;19;14;0;24;3;3;2;1;3;0;2;9;0;0;0;0;0;0;3;11;1
5899;1950;Phd;PhD;Partnered;Partnered;R5 648,00;1;1;13/03/2014;68;28;0;6;1;1;13;1;1;0;0;20;1;0;0;0;0;0;3;11;0
1994;1983;Graduation;Graduation;Married;Married;;1;0;15/11/2013;11;5;5;6;0;2;1;1;1;0;2;7;0;0;0;0;0;0;3;11;0
387;1976;Basic;Basic;Married;Married;R7 500,00;0;0;13/11/2012;59;6;16;11;11;1;16;1;2;0;3;8;0;0;0;0;0;0;3;11;0
2125;1959;Graduation;Graduation;Divorced;Divorced;R63 033,00;0;0;15/11/2013;82;194;61;480;225;112;30;1;3;4;8;2;0;0;0;0;0;0;3;11;0
8180;1952;Master;Master;Divorced;Divorced;R59 354,00;1;1;15/11/2013;53;233;2;53;3;5;14;3;6;1;5;6;0;0;0;0;0;0;3;11;0
2569;1987;Graduation;Graduation;Married;Married;R17 323,00;0;0;10/10/2012;38;3;14;17;6;1;5;1;1;0;3;8;0;0;0;0;0;0;3;11;0
2114;1946;Phd;PhD;Single;Single;R82 800,00;0;0;24/11/2012;23;1006;22;115;59;68;45;1;7;6;12;3;0;0;1;1;0;0;3;11;1
9736;1980;Graduation;Graduation;Married;Married;R41 850,00;1;1;24/12/2012;51;53;5;19;2;13;4;3;3;0;3;8;0;0;0;0;0;0;3;11;0
4939;1946;Graduation;Graduation;Partnered;Partnered;R37 760,00;0;0;31/08/2012;20;84;5;38;150;12;28;2;4;1;6;7;0;0;0;0;0;0;3;11;0
6565;1949;Master;Master;Married;Married;R76 995,00;0;1;28/03/2013;91;1012;80;498;0;16;176;2;11;4;9;5;0;0;0;1;0;0;3;11;0
2278;1985;2N Cycle;2n Cycle;Single;Single;R33 812,00;1;0;3/11/2012;86;4;17;19;30;24;39;2;2;1;3;6;0;0;0;0;0;0;3;11;0
9360;1982;Graduation;Graduation;Married;Married;R37 040,00;0;0;8/8/2012;41;86;2;73;69;38;48;1;4;2;5;8;0;0;0;0;0;0;3;11;0
5376;1979;Graduation;Graduation;Married;Married;R2 447,00;1;0;6/1/2013;42;1;1;1725;1;1;1;15;0;28;0;1;0;0;0;0;0;0;3;11;0
1993;1949;Phd;PhD;Married;Married;R58 607,00;0;1;23/12/2012;63;867;0;86;0;0;19;3;2;3;9;8;0;1;0;0;0;0;3;11;0
4047;1954;Phd;PhD;Married;Married;R65 324,00;0;1;11/1/2014;0;384;0;102;21;32;5;3;6;2;9;4;0;0;0;0;0;0;3;11;0
1409;1951;Graduation;Graduation;Partnered;Partnered;R40 689,00;0;1;18/03/2013;69;270;3;27;39;6;99;7;7;1;5;8;0;0;0;0;0;0;3;11;0
7892;1969;Graduation;Graduation;Single;Single;R18 589,00;0;0;2/1/2013;89;6;4;25;15;12;13;2;2;1;3;7;0;0;0;0;0;0;3;11;0
2404;1976;Graduation;Graduation;Married;Married;R53 359,00;1;1;27/05/2013;4;173;4;30;3;6;41;4;5;1;4;7;0;0;0;0;0;0;3;11;0
5255;1986;Graduation;Graduation;Single;Single;;1;0;20/02/2013;19;5;1;3;3;263;362;0;27;0;0;1;0;0;0;0;0;0;3;11;0
9422;1989;Graduation;Graduation;Married;Married;R38 360,00;1;0;31/05/2013;26;36;2;42;20;21;10;2;2;1;4;3;0;0;0;0;0;0;3;11;0
1966;1965;Phd;PhD;Married;Married;R84 618,00;0;0;22/11/2013;96;684;100;801;21;66;0;1;6;9;10;2;0;0;1;0;0;0;3;11;0
6864;1989;Master;Master;Divorced;Divorced;R10 979,00;0;0;22/05/2014;34;8;4;10;2;2;4;2;3;0;3;5;0;0;0;0;0;0;3;11;0
3033;1963;Master;Master;Partnered;Partnered;R38 620,00;0;0;11/5/2013;56;112;17;44;34;22;89;1;2;5;3;3;0;0;0;0;0;0;3;11;0
5710;1970;Graduation;Graduation;Partnered;Partnered;R40 548,00;0;1;10/10/2012;31;110;0;5;2;0;3;2;2;1;4;5;0;1;0;0;0;0;3;11;0
7373;1952;Phd;PhD;Divorced;Divorced;R46 610,00;0;2;29/10/2012;8;96;12;96;33;22;43;6;4;1;6;6;0;0;0;0;0;0;3;11;1
8755;1946;Master;Master;Married;Married;R68 657,00;0;0;20/02/2013;4;482;34;471;119;68;22;1;3;5;9;7;0;0;0;0;0;0;3;11;0
10738;1951;Master;Master;Single;Single;R49 389,00;1;1;29/08/2013;55;40;0;19;2;1;3;1;2;0;3;7;0;0;0;0;0;0;3;11;0
4339;1970;Phd;PhD;Married;Married;R67 353,00;0;1;31/12/2013;37;702;17;151;0;8;35;5;5;6;12;2;0;0;0;0;0;0;3;11;0
10755;1976;2N Cycle;2n Cycle;Married;Married;R23 718,00;1;0;2/9/2013;76;6;3;14;15;7;36;3;3;1;2;7;0;0;0;0;0;0;3;11;0
8595;1973;Graduation;Graduation;Widow;Widow;R42 429,00;0;1;11/2/2014;99;55;0;6;2;0;4;2;1;1;3;5;0;0;0;0;0;0;3;11;0
2968;1943;Phd;PhD;Divorced;Divorced;R48 948,00;0;0;1/2/2013;53;437;8;206;160;49;42;2;7;10;5;6;1;0;0;0;0;0;3;11;1
8601;1980;Graduation;Graduation;Married;Married;R80 011,00;0;1;29/04/2013;3;421;76;536;82;178;102;2;8;6;5;4;0;0;0;0;0;0;3;11;0
503;1985;Master;Master;Married;Married;R20 559,00;1;0;12/3/2013;88;13;1;29;3;0;7;2;2;0;3;8;0;0;0;0;0;0;3;11;0
8430;1957;Graduation;Graduation;Partnered;Partnered;R21 994,00;0;1;24/12/2012;4;9;0;6;3;1;3;1;0;0;3;5;0;0;0;0;0;0;3;11;0
7281;1959;Phd;PhD;Single;Single;;0;0;5/11/2013;80;81;11;50;3;2;39;1;1;3;4;2;0;0;0;0;0;0;3;11;0
2139;1975;Master;Master;Married;Married;R7 500,00;1;0;2/10/2013;19;3;1;10;3;2;12;3;2;0;3;5;0;0;0;0;0;0;3;11;0
1371;1976;Graduation;Graduation;Single;Single;R79 941,00;0;0;28/06/2014;72;123;164;266;227;30;174;1;2;4;9;1;0;0;0;0;0;0;3;11;0
9909;1996;2N Cycle;2n Cycle;Married;Married;R7 500,00;0;0;9/11/2012;24;3;18;14;15;22;50;3;3;1;3;9;0;0;0;0;0;0;3;11;1
7286;1968;Graduation;Graduation;Partnered;Partnered;R41 728,00;1;0;24/05/2013;92;13;6;15;3;5;13;1;2;0;2;10;0;0;0;0;0;0;3;11;0
7244;1951;Graduation;Graduation;Single;Single;;2;1;1/1/2014;96;48;5;48;6;10;7;3;2;1;4;6;0;0;0;0;0;0;3;11;0
6566;1954;Phd;PhD;Married;Married;R72 550,00;1;1;8/11/2012;39;826;50;317;50;38;38;9;5;2;12;8;0;0;0;0;0;0;3;11;0
8614;1957;Graduation;Graduation;Widow;Widow;R65 486,00;0;1;12/5/2014;29;245;19;125;37;67;14;1;4;2;10;2;0;0;0;0;0;0;3;11;0
4114;1964;Master;Master;Married;Married;R79 143,00;0;0;11/8/2012;2;650;37;780;27;167;32;1;6;9;13;3;0;0;0;0;0;0;3;11;0
1331;1977;Graduation;Graduation;Single;Single;R35 790,00;1;0;2/1/2013;54;12;6;20;30;1;3;2;2;0;3;7;0;0;0;0;0;0;3;11;0
2225;1977;Graduation;Graduation;Divorced;Divorced;R82 582,00;0;0;7/6/2014;54;510;120;550;156;40;241;1;4;9;7;1;1;0;0;1;0;0;3;11;1
9381;1978;Graduation;Graduation;Married;Married;R66 373,00;1;1;12/6/2013;57;328;9;124;12;24;109;7;4;2;10;3;0;0;0;0;0;0;3;11;0
6260;1955;Master;Master;Partnered;Partnered;R82 384,00;0;0;19/11/2012;55;984;51;432;180;120;190;1;3;10;13;1;0;0;1;0;0;0;3;11;1
10383;1966;Graduation;Graduation;Divorced;Divorced;R70 287,00;0;0;2/4/2013;30;295;35;482;121;120;40;1;5;5;10;3;0;0;0;0;0;0;3;11;1
7437;1988;Graduation;Graduation;Single;Single;R27 938,00;1;0;28/04/2014;31;13;0;8;2;1;5;1;1;0;4;3;0;0;0;0;0;0;3;11;0
8557;1982;Graduation;Graduation;Single;Single;;1;0;17/06/2013;57;11;3;22;2;2;6;2;2;0;3;6;0;0;0;0;0;0;3;11;0
8375;1968;Phd;PhD;Married;Married;R55 954,00;0;1;3/3/2014;63;447;0;28;0;0;43;3;8;2;6;7;0;0;0;0;0;0;3;11;0
6853;1982;Master;Master;Single;Single;R75 777,00;0;0;4/7/2013;12;712;26;538;69;13;80;1;3;6;11;1;0;1;1;0;0;0;3;11;1
3076;1975;Graduation;Graduation;Partnered;Partnered;R66 653,00;1;1;7/9/2012;18;452;18;102;16;18;6;4;4;2;12;3;0;0;0;0;0;0;3;11;0
1012;1952;Graduation;Graduation;Single;Single;R61 823,00;0;1;18/02/2013;26;523;7;134;37;14;169;4;8;2;10;7;0;0;0;0;0;0;3;11;0
6518;1951;Phd;PhD;Widow;Widow;R67 680,00;0;1;11/6/2013;8;546;0;48;0;6;6;1;7;3;8;5;0;0;0;0;0;0;3;11;0
4137;1948;Graduation;Graduation;Partnered;Partnered;R70 666,00;0;0;6/12/2013;29;398;40;367;119;122;30;1;7;4;4;4;0;0;0;0;0;0;3;11;0
8082;1971;Graduation;Graduation;Married;Married;R25 721,00;1;0;21/05/2013;75;1;3;6;3;6;15;1;1;1;2;7;0;0;0;0;0;0;3;11;1
1386;1967;Graduation;Graduation;Partnered;Partnered;R32 474,00;1;1;11/5/2014;0;10;0;1;0;0;0;1;1;0;2;7;0;0;0;0;0;0;3;11;0
9369;1979;2N Cycle;2n Cycle;Single;Single;R88 194,00;0;1;19/03/2014;19;688;14;309;201;24;38;1;11;10;10;5;1;0;0;1;0;0;3;11;1
4477;1958;Graduation;Graduation;Partnered;Partnered;R69 096,00;0;1;27/09/2013;4;247;49;159;7;82;109;1;5;2;10;4;0;0;0;0;0;0;3;11;0
1357;1970;Graduation;Graduation;Partnered;Partnered;R74 854,00;1;2;8/4/2013;90;856;59;487;58;29;73;7;2;5;5;5;0;0;0;0;0;0;3;11;0
1402;1954;Master;Master;Married;Married;R66 991,00;0;0;11/9/2012;1;496;36;460;189;60;12;3;4;8;6;3;0;0;0;0;0;0;3;11;0
10629;1973;2N Cycle;2n Cycle;Married;Married;;1;0;14/09/2012;25;25;3;43;17;4;17;3;3;0;3;8;0;0;0;0;0;0;3;11;0
6312;1959;Graduation;Graduation;Married;Married;R65 031,00;0;1;17/03/2013;29;258;107;291;84;37;86;4;10;3;13;7;0;0;0;0;0;0;3;11;0
8132;1975;Phd;PhD;Married;Married;R60 631,00;1;1;5/4/2013;88;565;6;65;0;6;19;5;9;2;8;7;0;1;0;0;0;0;3;11;0
1050;1952;Graduation;Graduation;Married;Married;R28 332,00;0;0;30/04/2014;58;14;10;13;4;15;9;1;2;1;4;2;0;0;0;0;0;0;3;11;0
5846;1977;Graduation;Graduation;Divorced;Divorced;R40 246,00;1;0;19/12/2012;68;2;1;6;2;1;1;1;1;0;2;6;0;0;0;0;0;0;3;11;0
1859;1972;Master;Master;Married;Married;R75 251,00;0;0;27/08/2012;34;721;111;925;97;18;18;1;7;6;5;5;0;0;0;0;0;0;3;11;1
7503;1976;Graduation;Graduation;Single;Single;R75 825,00;0;0;12/10/2012;40;1032;105;779;137;105;51;0;5;8;9;4;1;0;0;0;0;0;3;11;1
10401;1976;2N Cycle;2n Cycle;Partnered;Partnered;R26 326,00;0;0;4/9/2013;12;1;0;5;0;3;9;1;0;0;3;3;0;0;0;0;0;1;3;11;0
1618;1965;Graduation;Graduation;Partnered;Partnered;R56 046,00;0;0;2/1/2013;9;577;0;64;0;0;51;2;10;1;8;8;1;0;0;0;0;0;3;11;1
3332;1985;Graduation;Graduation;Single;Single;R29 760,00;1;0;29/08/2012;87;64;4;68;7;5;17;4;3;1;4;8;0;0;0;0;0;0;3;11;0
2261;1969;Graduation;Graduation;Married;Married;R26 304,00;1;0;23/06/2013;5;4;1;5;2;0;4;1;1;0;2;7;0;0;0;0;0;0;3;11;0
5346;1973;2N Cycle;2n Cycle;Married;Married;R23 559,00;1;0;3/7/2013;87;25;5;19;7;0;23;3;3;0;3;7;0;0;0;0;0;0;3;11;0
4119;1963;Master;Master;Partnered;Partnered;R38 620,00;0;0;11/5/2013;56;112;17;44;34;22;89;1;2;5;3;3;0;0;0;0;0;0;3;11;0
535;1987;Graduation;Graduation;Divorced;Divorced;R81 361,00;0;0;25/02/2014;18;163;23;424;27;65;76;1;3;10;13;1;0;0;0;0;0;0;3;11;0
5268;1960;Graduation;Graduation;Married;Married;R29 440,00;1;1;11/8/2013;95;17;8;14;10;4;3;2;1;0;4;7;0;0;0;0;0;0;3;11;0
273;1970;Master;Master;Married;Married;R36 138,00;1;1;16/07/2013;48;130;0;16;0;0;5;5;3;1;4;7;0;1;0;0;0;0;3;11;0
4452;1957;Graduation;Graduation;Single;Single;R50 388,00;0;1;28/05/2014;3;292;6;37;0;3;34;4;6;1;6;7;0;1;0;1;0;0;3;11;1
